CustomerID,Age,Gender,AnnualIncome,TenureMonths,PurchaseFrequency,AvgOrderValue,Churn
CUST-10000,56.0,Male,32492.66,23,5,198.53,1
CUST-10001,69.0,Male,65881.28,16,9,181.06,0
CUST-10002,46.0,Female,70882.0,61,15,54.89,0
CUST-10003,32.0,Other,46862.37,68,3,180.01,1
CUST-10004,60.0,Male,46539.24,31,3,157.35,1
CUST-10005,,Female,59785.81,53,9,121.42,0
CUST-10006,38.0,Male,47139.04,25,3,91.96,0
CUST-10007,56.0,Female,53809.61,44,3,104.68,0
CUST-10008,36.0,Male,92794.99,12,8,75.1,0
CUST-10009,40.0,Male,50553.54,9,5,161.86,1
CUST-10010,28.0,Female,48549.88,12,8,165.18,0
CUST-10011,28.0,Male,43344.25,69,3,40.29,1
CUST-10012,41.0,Female,68395.46,54,10,241.28,0
CUST-10013,53.0,Female,51737.96,54,4,175.42,0
CUST-10014,57.0,Female,43311.29,28,7,52.29,0
CUST-10015,41.0,Male,78783.47,56,8,104.04,1
CUST-10016,20.0,Male,80552.85,69,9,45.87,0
CUST-10017,39.0,Male,44192.38,58,8,97.8,1
CUST-10018,19.0,,21402.28,42,9,157.57,0
CUST-10019,41.0,Female,73135.25,38,8,47.99,0
CUST-10020,61.0,Female,42676.66,68,5,107.33,0
CUST-10021,47.0,Female,69231.26,53,8,151.2,0
CUST-10022,55.0,Female,19538.13,33,6,77.6,1
CUST-10023,19.0,Female,71066.75,71,4,128.33,0
CUST-10024,38.0,Male,33198.91,56,9,117.96,1
CUST-10025,50.0,Female,68153.75,51,6,124.75,0
CUST-10026,29.0,Male,55256.92,43,2,85.15,0
CUST-10027,39.0,Female,37829.09,15,8,96.62,0
CUST-10028,61.0,Female,47673.35,38,8,93.62,0
CUST-10029,,Female,67353.73,15,12,112.93,0
CUST-10030,66.0,Male,56906.1,5,5,41.36,0
CUST-10031,44.0,Male,65519.43,54,6,89.65,0
CUST-10032,59.0,Male,90575.93,51,7,188.2,0
CUST-10033,45.0,Male,26843.65,10,6,61.02,1
CUST-10034,33.0,Male,84109.83,12,7,158.13,0
CUST-10035,32.0,Female,56878.41,4,9,134.48,0
CUST-10036,64.0,Female,38821.89,18,6,97.22,0
CUST-10037,68.0,Male,31054.35,36,12,108.39,0
CUST-10038,61.0,Male,51595.83,25,3,120.55,1
CUST-10039,69.0,Male,71589.7,36,2,87.04,0
CUST-10040,20.0,Female,52704.12,67,8,32.8,0
CUST-10041,54.0,Female,82200.79,9,9,110.22,0
CUST-10042,68.0,Female,28878.84,61,10,49.24,0
CUST-10043,24.0,Female,54782.4,53,6,77.51,1
CUST-10044,38.0,,32456.92,18,7,90.19,0
CUST-10045,26.0,Female,61545.37,43,7,107.79,0
CUST-10046,56.0,Male,70963.97,35,6,114.18,0
CUST-10047,35.0,Female,47426.29,63,8,50.56,1
CUST-10048,21.0,Male,15000.0,4,8,57.64,1
CUST-10049,42.0,Female,58581.07,41,7,107.3,0
CUST-10050,31.0,Male,62861.29,45,6,132.22,0
CUST-10051,67.0,Female,62277.31,50,6,84.07,0
CUST-10052,26.0,Female,77244.08,28,7,92.94,0
CUST-10053,43.0,Female,35721.03,42,6,41.9,0
CUST-10054,19.0,Female,67243.89,69,6,118.7,0
CUST-10055,37.0,Male,76465.14,1,5,116.22,1
CUST-10056,,Male,22985.42,39,7,143.09,0
CUST-10057,,Male,60753.73,17,6,91.68,1
CUST-10058,24.0,Male,45924.76,35,1,206.12,1
CUST-10059,61.0,Female,,46,6,70.89,0
CUST-10060,25.0,Male,61258.18,42,4,98.3,0
CUST-10061,64.0,Other,46229.89,39,8,198.85,0
