Customer_Segment,Acquisition_Channel,Region,Tenure_Months,Customer_Lifetime_Value,CSAT_Rating,Churn
Budget Hunter,Organic/Direct,North America,4,459.69,5,0
Corporate/Bulk,Organic/Direct,Europe,34,15692.41,4,0
Regular Consumer,Social Media,Asia-Pacific,5,1046.94,3,1
Regular Consumer,Email Referral,North America,33,627.04,4,0
Budget Hunter,Paid Search,Asia-Pacific,5,417.47,4,1
Budget Hunter,Paid Search,North America,38,291.1,4,0
Budget Hunter,Email Referral,Asia-Pacific,34,396.85,4,0
High-Tier VIP,Social Media,Asia-Pacific,26,6977.44,5,0
Regular Consumer,Organic/Direct,North America,1,736.11,4,0
Regular Consumer,Email Referral,Europe,4,961.01,3,0
Budget Hunter,Paid Search,North America,39,332.98,2,0
Corporate/Bulk,Email Referral,Asia-Pacific,26,14552.12,4,0
High-Tier VIP,Social Media,Europe,33,8500.07,1,0
Budget Hunter,Social Media,Europe,33,371.62,3,0
Budget Hunter,Social Media,North America,8,207.18,3,0
Budget Hunter,Email Referral,North America,20,319.77,3,0
Budget Hunter,Paid Search,North America,16,282.2,5,0
Regular Consumer,Social Media,North America,21,1416.48,3,0
Regular Consumer,Organic/Direct,Europe,45,1313.07,3,0
Budget Hunter,Organic/Direct,Asia-Pacific,26,258.84,2,1
Regular Consumer,Organic/Direct,Europe,23,949.95,4,0
Budget Hunter,Paid Search,Europe,18,318.49,2,0
Budget Hunter,Paid Search,Latin America,31,329.06,4,0
Budget Hunter,Social Media,Asia-Pacific,42,346.31,2,0
Regular Consumer,Organic/Direct,Latin America,12,1214.66,4,0
Regular Consumer,Paid Search,Europe,1,1570.46,5,0
Budget Hunter,Paid Search,North America,42,315.33,1,0
Regular Consumer,Email Referral,North America,9,1036.93,4,0
Regular Consumer,Paid Search,Asia-Pacific,3,798.37,4,0
Budget Hunter,Email Referral,North America,26,330.41,4,1
Regular Consumer,Organic/Direct,North America,9,1276.86,4,0
Budget Hunter,Organic/Direct,Europe,42,199.14,4,0
Budget Hunter,Paid Search,Europe,16,320.04,4,0
High-Tier VIP,Paid Search,Europe,24,5805.33,4,0
Corporate/Bulk,Organic/Direct,North America,14,12782.84,3,0
High-Tier VIP,Organic/Direct,North America,3,4920.11,2,1
Budget Hunter,Organic/Direct,Europe,34,404.36,4,0
Budget Hunter,Paid Search,Latin America,33,299.8,5,0
Regular Consumer,Organic/Direct,Asia-Pacific,24,987.92,5,0
Regular Consumer,Organic/Direct,Latin America,9,1581.57,5,0
Budget Hunter,Organic/Direct,Asia-Pacific,13,422.51,4,0
Regular Consumer,Organic/Direct,Europe,2,976.12,4,0
Budget Hunter,Organic/Direct,North America,7,185.61,4,0
High-Tier VIP,Social Media,Europe,21,3683.8,4,0
Budget Hunter,Paid Search,Europe,19,397.56,4,0
Regular Consumer,Social Media,Europe,25,1002.52,3,0
Budget Hunter,Paid Search,Europe,47,378.88,3,0
Regular Consumer,Social Media,Europe,22,1625.93,4,0
Regular Consumer,Social Media,North America,11,1172.09,4,0
Budget Hunter,Paid Search,Europe,33,370.47,3,0
Corporate/Bulk,Paid Search,North America,32,12883.49,3,0
Regular Consumer,Paid Search,Asia-Pacific,21,875.37,5,0
High-Tier VIP,Organic/Direct,North America,39,3630.32,4,0
High-Tier VIP,Email Referral,North America,20,5316.93,4,0
