TenureMonths,PurchaseFrequency,AvgOrderValue,AnnualIncome,CSAT_Rating,SupportTickets,AnnualSpend,IncomeSpendRatio,EngagementScore,TenureSpendVelocity,Churn
52,6,114.71,54423.66,5,3,8259.12,0.1518,1.5,158.83,1
15,3,72.79,64404.35,4,1,2620.44,0.0407,1.5,174.7,0
61,9,191.64,48666.12,4,0,20697.12,0.4253,9.0,339.3,0
21,4,177.36,53234.46,2,3,8513.28,0.1599,1.0,405.39,1
24,7,193.51,71799.77,2,4,16254.84,0.2264,1.4,677.28,1
3,4,96.59,32208.47,3,1,4636.32,0.1439,2.0,1545.44,1
22,5,84.37,50793.42,5,2,5062.2,0.0997,1.667,230.1,0
53,5,135.96,64985.02,3,2,8157.6,0.1255,1.667,153.92,0
2,4,78.87,35799.96,5,2,3785.76,0.1057,1.333,1892.88,1
30,5,97.07,-8737.3,2,0,5824.2,0.5824,5.0,194.14,0
38,6,37.58,81038.38,4,2,2705.76,0.0334,2.0,71.2,1
2,7,110.12,54631.48,4,0,9250.08,0.1693,7.0,4625.04,1
64,5,126.76,32363.8,5,2,7605.6,0.235,1.667,118.84,1
60,5,172.43,71567.55,1,4,10345.8,0.1446,1.0,172.43,0
21,5,138.29,51250.45,2,1,8297.4,0.1619,2.5,395.11,0
33,6,148.81,36373.33,2,1,10714.32,0.2946,3.0,324.68,1
58,5,206.83,61655.12,5,1,12409.8,0.2013,2.5,213.96,1
22,8,66.63,55927.96,2,2,6396.48,0.1144,2.667,290.75,0
49,4,61.15,43962.6,1,3,2935.2,0.0668,1.0,59.9,0
59,7,106.72,41146.97,4,1,8964.48,0.2179,3.5,151.94,0
42,9,57.64,36529.49,4,3,6225.12,0.1704,2.25,148.22,0
60,10,113.39,68239.94,5,4,13606.8,0.1994,2.0,226.78,1
15,5,58.68,32529.58,5,1,3520.8,0.1082,2.5,234.72,1
62,10,64.5,40644.88,4,2,7740.0,0.1904,3.333,124.84,0
62,3,43.06,56820.78,5,3,1550.16,0.0273,0.75,25.0,0
47,6,109.38,81259.9,4,3,7875.36,0.0969,1.5,167.56,0
62,10,51.17,57392.2,3,0,6140.4,0.107,10.0,99.04,0
51,5,123.24,65587.12,5,2,7394.4,0.1127,1.667,144.99,0
55,6,132.32,56839.76,4,3,9527.04,0.1676,1.5,173.22,0
64,8,70.2,71315.86,3,4,6739.2,0.0945,1.6,105.3,1
3,7,140.49,89876.13,4,2,11801.16,0.1313,2.333,3933.72,1
51,2,133.48,47120.94,3,1,3203.52,0.068,1.0,62.81,0
7,11,155.94,55252.73,2,3,20584.08,0.3725,2.75,2940.58,1
21,7,67.41,58123.5,4,2,5662.44,0.0974,2.333,269.64,0
39,5,66.11,64536.58,4,1,3966.6,0.0615,2.5,101.71,0
18,6,129.21,57383.47,4,4,9303.12,0.1621,1.2,516.84,1
4,6,106.06,45212.66,2,5,7636.32,0.1689,1.0,1909.08,1
60,2,110.56,54872.27,5,2,2653.44,0.0484,0.667,44.22,0
14,5,175.04,98770.1,1,1,10502.4,0.1063,2.5,750.17,0
9,7,47.33,60649.91,3,3,3975.72,0.0656,1.75,441.75,1
53,6,144.79,20606.13,3,3,10424.88,0.5059,1.5,196.7,0
2,7,133.56,47891.91,1,2,11219.04,0.2343,2.333,5609.52,1
60,9,126.88,55241.11,3,3,13703.04,0.2481,2.25,228.38,0
71,6,150.39,52469.66,4,0,10828.08,0.2064,6.0,152.51,0
44,8,90.24,53768.11,5,4,8663.04,0.1611,1.6,196.89,1
8,3,56.72,60152.81,5,1,2041.92,0.0339,1.5,255.24,0
47,6,74.19,64155.01,4,0,5341.68,0.0833,6.0,113.65,0
35,2,69.86,59659.06,3,2,1676.64,0.0281,0.667,47.9,0
36,1,23.69,72111.24,4,2,284.28,0.0039,0.333,7.9,0
50,2,126.97,28083.71,5,0,3047.28,0.1085,2.0,60.95,0
4,6,84.84,50452.17,3,3,6108.48,0.1211,1.5,1527.12,0
2,8,90.99,62816.81,4,4,8735.04,0.1391,1.6,4367.52,0
6,7,76.3,59610.93,4,2,6409.2,0.1075,2.333,1068.2,1
54,3,97.28,43258.61,3,0,3502.08,0.081,3.0,64.85,0
4,3,186.56,45425.89,4,2,6716.16,0.1478,1.0,1679.04,0
54,6,42.7,39849.0,4,3,3074.4,0.0772,1.5,56.93,0
63,3,201.9,72580.0,4,2,7268.4,0.1001,1.0,115.37,1
18,6,108.85,21662.14,3,2,7837.2,0.3618,2.0,435.4,1
