Age,Gender,AnnualIncome,TenureMonths,PurchaseFrequency,AvgOrderValue,CSAT_Rating,Churn
56,Female,43877.94,16,4,54.32,1,1
69,Male,35887.94,4,2,124.76,4,1
46,Female,95253.39,12,6,183.2,3,0
32,Unknown,79920.5,29,6,144.32,4,0
60,Male,54240.37,7,7,175.79,3,0
25,Male,89765.9,14,8,85.51,5,0
38,Male,53166.46,12,5,117.64,4,0
56,Female,68039.39,5,8,145.47,4,1
36,Female,55183.09,32,10,50.75,4,0
40,Male,62160.5,43,5,66.03,5,0
28,Female,60251.71,69,3,112.07,4,0
28,Male,47350.26,45,5,85.26,2,0
41,Male,74664.97,9,3,49.88,5,0
53,Female,67887.14,49,8,73.64,4,0
57,Male,73498.5,33,9,81.28,4,0
41,Female,60764.09,18,7,129.8,5,0
20,Male,38681.74,9,7,158.47,3,0
39,Unknown,85768.95,62,6,68.93,3,0
19,Male,50273.99,57,9,79.36,4,0
41,Male,61553.21,29,5,32.82,4,1
61,Female,66436.86,25,5,148.63,3,0
47,Male,61433.59,15,5,79.59,4,0
55,Unknown,71477.51,6,6,67.38,3,0
19,Female,74320.8,42,2,59.13,4,0
38,Female,50953.0,29,6,271.14,4,1
50,Female,84258.41,4,6,159.72,2,1
29,Female,50195.74,57,5,72.58,4,0
39,Female,61061.48,49,7,167.73,4,0
61,Female,48021.79,44,6,105.19,3,0
42,Female,42877.48,14,5,117.67,3,1
66,Male,73795.44,3,3,92.65,1,1
44,Male,111194.14,62,5,106.05,4,1
59,Female,48488.32,64,5,30.81,3,0
45,Male,76875.79,45,5,74.11,3,0
33,Female,49133.6,58,4,63.34,3,0
32,Male,54811.27,20,4,40.73,4,1
64,Male,86636.51,58,4,58.68,4,0
68,Female,35676.36,57,3,87.49,4,0
61,Female,30913.14,68,9,179.78,3,0
69,Male,53430.42,52,6,110.5,4,0
20,Female,66945.81,37,6,113.42,4,0
54,Female,63346.0,8,8,87.87,3,0
68,Male,61492.23,44,1,151.61,2,0
24,Female,55614.38,5,7,73.94,5,0
38,Male,69157.72,69,2,167.19,4,0
26,Male,2553.9,31,1,81.96,4,1
56,Unknown,41485.5,45,6,92.1,1,0
35,Male,53314.98,9,7,46.58,4,0
21,Female,67681.63,32,2,97.6,4,0
42,Female,81815.77,33,6,215.58,5,0
31,Male,39068.21,67,6,163.86,5,0
67,Female,81227.42,30,7,193.67,5,0
26,Female,46853.89,29,5,61.02,5,1
43,Male,52661.62,3,5,73.51,1,0
19,Female,65465.79,57,3,95.13,5,0
37,Female,51341.75,30,6,190.82,1,0
45,Female,74982.12,9,9,41.74,5,0
64,Female,47717.13,26,7,61.48,3,0
